Agreement Number,Sponsor Name,Site Number,Site Name,ADM,Applications Reduced,Applications Free,Needy %,Grade Level
920,Wake County Schools,302,River Bend Elementary,785,60,417,60.76%,K - 5
920,Wake County Schools,304,Adams Elementary,803,39,238,34.50%,K - 5
920,Wake County Schools,306,Herbert Akins Elementary,845,29,185,25.33%,K - 5
920,Wake County Schools,307,Alston Ridge Elementary,780,17,72,11.41%,K - 5
920,Wake County Schools,308,Apex Elementary,678,48,204,37.17%,K - 5
920,Wake County Schools,312,Apex Middle,1095,34,174,19.00%,06 08
920,Wake County Schools,316,Apex High,2556,45,196,9.43%,09 12
920,Wake County Schools,318,Athens Drive High,1920,68,602,34.90%,09 12
920,Wake County Schools,320,Aversboro Elementary,536,46,299,64.37%,K - 5
920,Wake County Schools,324,Longview,78,0,0,0.00%,06 12
920,Wake County Schools,325,Banks Road Elementary,771,43,174,28.15%,K - 5
920,Wake County Schools,326,Baileywick Road Elementary,441,14,222,53.51%,K - 5
920,Wake County Schools,327,Ballentine Elementary,566,23,139,28.62%,K - 5
920,Wake County Schools,328,Baucom Elementary,870,21,136,18.05%,K - 5
920,Wake County Schools,329,Bar Well Road Elementary,672,74,454,78.57%,K - 5
920,Wake County Schools,334,Brassfield Elementary,762,12,81,12.20%,Pre-K - 5
920,Wake County Schools,336,Brentwood Elementary,437,45,333,86.50%,K - 5
920,Wake County Schools,340,Briarcliff Elementary,599,32,255,47.91%,K - 5
920,Wake County Schools,342,Brier Creek Elementary,787,21,161,23.13%,K - 5
920,Wake County Schools,344,Brooks Elementary,578,17,128,25.09%,K - 5
920,Wake County Schools,348,Needham Broughton High,2127,84,685,36.15%,09 12
920,Wake County Schools,352,Bugg Elementary,603,65,346,68.16%,K - 5
920,Wake County Schools,356,Carnage Middle,1272,65,401,36.64%,06 08
920,Wake County Schools,358,Carpenter Elementary,728,28,140,23.08%,K - 5
920,Wake County Schools,360,Carroll Middle,816,66,538,74.02%,06 08
920,Wake County Schools,362,Carver Elementary,461,36,257,63.56%,Pre-K - 5
920,Wake County Schools,364,Cary Elementary,551,44,198,43.92%,K - 5
920,Wake County Schools,368,Cary High,2310,131,638,33.29%,09 12
920,Wake County Schools,369,Cedar Fork Elementary,773,31,48,10.22%,K - 5
920,Wake County Schools,370,Centennial Campus Middle,568,35,222,45.25%,06 08
920,Wake County Schools,376,Combs Elementary,875,26,276,34.51%,K - 5
920,Wake County Schools,380,Conn Elementary,663,42,292,50.38%,K - 5
920,Wake County Schools,384,Creech Road Elementary,610,50,472,85.57%,K - 5
920,Wake County Schools,388,Daniels Middle,1186,59,477,45.19%,06 08
920,Wake County Schools,390,Davis Drive Elementary,966,9,39,4.97%,K - 5
920,Wake County Schools,391,Davis Drive Middle,1129,18,62,7.09%,06 08
920,Wake County Schools,393,Dillard Drive Elementary,693,42,398,63.49%,K - 5
920,Wake County Schools,394,Dillard Drive Middle,1084,62,550,56.46%,06 08
920,Wake County Schools,396,Douglas Elementary,682,22,254,40.47%,K - 5
920,Wake County Schools,398,Durant Road Elementary,950,36,238,28.84%,K - 5
920,Wake County Schools,399,Durant Road Middle,1318,55,289,26.10%,06 08
920,Wake County Schools,400,Reedy Creek Middle,886,67,375,49.89%,06 08
920,Wake County Schools,402,East Cary Middle,749,39,234,36.45%,06 08
920,Wake County Schools,403,East Garner Elementary,610,49,407,74.75%,K - 5
920,Wake County Schools,404,East Garner Middle,1250,115,624,59.12%,06 08
920,Wake County Schools,408,East Millbrook Middle,1082,100,606,65.25%,06 08
920,Wake County Schools,410,East Wake Middle,995,98,597,69.85%,06 08
920,Wake County Schools,411,East Wake High,1399,119,628,0.00%,09 12
920,Wake County Schools,412,William G Enloe High,2614,128,1086,46.44%,09 12
920,Wake County Schools,413,Forestville Road Elementary,674,46,384,63.80%,K - 5
920,Wake County Schools,414,Farmington Woods Elementary,794,26,195,27.83%,K - 5
